"","Posted.On","BHK","Rent","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"202","2022-06-24",1,10000,700,"1 out of 2","Carpet Area","Garia","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"203","2022-07-03",2,15000,1000,"Ground out of 2","Carpet Area","Tn Chatterjee Street","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"204","2022-06-12",1,4700,250,"1 out of 2","Super Area","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"205","2022-05-14",1,5000,500,"Ground out of 3","Carpet Area","Bata Nagar","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"206","2022-05-20",2,5000,450,"2 out of 2","Carpet Area","Birati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"207","2022-06-27",3,15000,1400,"1 out of 3","Super Area","Survey Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"208","2022-05-14",1,5000,500,"1 out of 1","Carpet Area","Bata Nagar","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"209","2022-06-17",2,6000,700,"Ground out of 1","Carpet Area","Hatiara Extention","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"210","2022-06-04",3,18000,1200,"1 out of 3","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"211","2022-06-21",2,8000,450,"1 out of 2","Carpet Area","Andul","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"212","2022-06-23",1,13000,500,"2 out of 2","Carpet Area","Salt Lake City Sector 2","Kolkata","Furnished","Bachelors",1,"Contact Agent"
"213","2022-07-02",2,7500,400,"Ground out of 1","Carpet Area","locality","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"214","2022-04-24",3,12000,1000,"Ground out of 1","Super Area","Khardah","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"215","2022-06-04",2,11000,750,"Ground out of 1","Carpet Area","Parnasree Pally","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"216","2022-06-24",1,6000,450,"Ground out of 2","Super Area","Baghajatin","Kolkata","Unfurnished","Family",1,"Contact Owner"
"217","2022-06-19",3,20000,1000,"1 out of 2","Carpet Area","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"218","2022-07-03",2,7000,500,"1 out of 1","Carpet Area","sarsuna banerjee para","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"219","2022-06-19",4,30000,1600,"Ground out of 1","Carpet Area","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"220","2022-07-02",2,7500,550,"Ground out of 1","Carpet Area","Near Seven Tanks Road Dumdum Station","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"221","2022-06-21",1,6500,550,"1 out of 2","Super Area","Jyangra","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"222","2022-06-04",1,3000,200,"2 out of 3","Super Area","Barasat","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"223","2022-06-30",2,5200,650,"1 out of 2","Carpet Area","Sukchar","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"224","2022-06-22",2,25000,1000,"1 out of 1","Super Area","Tagore Park, Kasba","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"225","2022-05-27",2,12500,680,"Ground out of 2","Carpet Area","Barrackpore","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"226","2022-06-17",2,8500,720,"Ground out of 1","Carpet Area","Silpara, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"228","2022-06-30",2,7000,800,"Ground out of 2","Super Area","Madhyam Gram","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"229","2022-05-19",1,3000,160,"Ground out of 1","Super Area","Kudghat, Ashok Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"230","2022-06-19",2,14000,1200,"1 out of 2","Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent"
"232","2022-06-13",1,3500,1000,"Ground out of 1","Super Area","Dum Dum Cantonment","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"233","2022-06-16",2,16000,1250,"Ground out of 1","Super Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent"
"235","2022-06-04",2,21000,700,"Ground out of 2","Super Area","Lake Gardens","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"236","2022-06-16",1,4500,450,"Ground out of 2","Super Area","Silpara, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"238","2022-07-01",1,4500,230,"Ground out of 3","Super Area","Birati","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"239","2022-05-06",1,5500,1800,"Ground out of 2","Super Area","Baranagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"240","2022-05-10",2,8500,800,"1 out of 2","Super Area","Baguihati","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"241","2022-05-27",1,5000,500,"Ground out of 1","Carpet Area","BRAHMAPUR NEAR BANSDRONI","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"242","2022-05-22",2,8500,620,"Ground out of 1","Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"243","2022-04-24",2,9000,650,"2 out of 3","Carpet Area","tollygunge Kabardanga","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"245","2022-04-23",2,7000,450,"1 out of 3","Carpet Area","safuipara","Kolkata","Furnished","Bachelors",2,"Contact Owner"
"246","2022-04-24",3,15000,1350,"1 out of 2","Carpet Area","Annapurna Apartment, Rajarhat Chowmatha","Kolkata","Unfurnished","Family",2,"Contact Owner"
"247","2022-05-06",2,7000,600,"2 out of 2","Super Area","Park Circus, Ballygunge","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"248","2022-05-31",3,10000,1200,"2 out of 4","Super Area","Belghoria","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"249","2022-06-25",2,7000,700,"1 out of 2","Super Area","Haridevpur, Paschim Putiary","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"250","2022-06-27",3,3200,800,"1 out of 3","Carpet Area","Bhawanipur","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"251","2022-06-19",2,6000,600,"Ground out of 3","Carpet Area","Santoshpur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"253","2022-05-31",2,6000,750,"Ground out of 1","Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"254","2022-07-01",3,10000,1250,"1 out of 2","Super Area","Jaffarpore Rifle Range Road","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"255","2022-05-31",3,12000,1000,"2 out of 2","Super Area","Dariya","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"256","2022-06-03",2,8000,600,"Ground out of 2","Super Area","Howrah","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"257","2022-06-30",2,5300,650,"1 out of 1","Carpet Area","Sodepur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"258","2022-06-24",2,5000,450,"2 out of 3","Carpet Area","Liluah","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"259","2022-06-11",3,8500,800,"Ground out of 2","Super Area","Near DumDum Metro","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"260","2022-06-19",3,22000,1000,"Ground out of 3","Carpet Area","Sukanta Nagar, New Barrakpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"261","2022-06-19",2,7000,1000,"Ground out of 3","Super Area","Kumarpara, Narendrapur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"262","2022-06-25",3,25000,1400,"5 out of 5","Carpet Area","Salt Lake City","Kolkata","Furnished","Bachelors",3,"Contact Agent"
"263","2022-06-11",2,7000,600,"1 out of 4","Carpet Area","Barrackpore","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner"
"264","2022-06-13",2,15000,723,"Ground out of 3","Carpet Area","Narendrapur","Kolkata","Furnished","Family",1,"Contact Owner"
"265","2022-06-19",1,6000,320,"Ground out of 2","Carpet Area","Sahid Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"266","2022-06-17",2,8000,900,"Ground out of 3","Super Area","Belghoria","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"268","2022-06-24",1,6000,2160,"1 out of 2","Super Area","Kasba","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner"
"269","2022-06-22",2,15000,650,"Ground out of 2","Carpet Area","kasba bosepukur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"270","2022-06-16",2,6500,800,"1 out of 1","Super Area","Kanchrapara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"271","2022-06-08",3,8000,800,"2 out of 3","Super Area","Bansdroni","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"272","2022-05-05",1,5500,500,"Ground out of 2","Carpet Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"273","2022-06-28",3,9000,1700,"1 out of 2","Super Area","Panchanantala Road","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"274","2022-04-27",1,6000,130,"Ground out of 2","Carpet Area","Bow Bazar","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"275","2022-05-14",1,15000,505,"Ground out of 3","Super Area","Kasba","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"276","2022-07-04",4,30000,4000,"Ground out of 3","Super Area","Sakher Bazar, Purba Barisha","Kolkata","Furnished","Bachelors/Family",3,"Contact Agent"
"277","2022-05-22",3,30000,1250,"Ground out of 2","Super Area","New Alipore","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"278","2022-06-15",1,5000,700,"Ground out of 2","Carpet Area","My Own House","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"279","2022-06-12",2,15000,900,"Ground out of 1","Super Area","Park Circus, Ballygunge","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"280","2022-06-26",1,6500,650,"1 out of 1","Super Area","Joka","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"281","2022-06-29",2,4500,750,"Ground out of 1","Super Area","Azadgarh","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"282","2022-05-07",2,7000,450,"Ground out of 3","Carpet Area","Mandirtala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"283","2022-06-25",1,6500,350,"1 out of 2","Carpet Area","Dhakuria","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"284","2022-06-12",1,17500,480,"1 out of 2","Carpet Area","Rabindra Sarovar Metro","Kolkata","Furnished","Bachelors",2,"Contact Owner"
"285","2022-06-18",2,10000,900,"Ground out of 3","Super Area","Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"286","2022-05-24",1,1500,200,"Ground out of 2","Super Area","Santoshpur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"287","2022-06-06",3,25000,1100,"2 out of 3","Super Area","Regent Estate, Bijoygarh","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner"
"288","2022-04-28",2,12000,800,"1 out of 2","Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"289","2022-06-05",3,7500,1000,"Ground out of 2","Carpet Area","south station pally dankuni","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"290","2022-06-11",1,7000,800,"1 out of 2","Carpet Area","Kumargali","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"291","2022-06-29",1,3500,200,"Upper Basement out of 4","Super Area","Baguihati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"292","2022-06-26",3,10000,1190,"1 out of 2","Carpet Area","Sarsuna","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"293","2022-05-17",2,14000,900,"Ground out of 2","Carpet Area","Salt Lake City","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"294","2022-05-28",2,15000,1500,"Ground out of 2","Super Area","Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"295","2022-05-15",2,6500,600,"2 out of 3","Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"298","2022-06-11",3,10000,900,"Ground out of 3","Carpet Area","Garia","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"299","2022-04-24",1,5000,350,"Ground out of 3","Carpet Area","Purba Barisha","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"300","2022-06-29",2,9000,800,"Ground out of 2","Carpet Area","Sodepur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"301","2022-06-23",2,20000,1600,"Ground out of 3","Carpet Area","Jadavpur University","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"302","2022-05-12",3,35000,1012,"2 out of 3","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"303","2022-04-29",3,15000,1200,"Ground out of 2","Carpet Area","Pathak Para, Behala","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"304","2022-04-23",2,20000,700,"1 out of 2","Super Area","Salt Lake City Sector 1","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"305","2022-05-09",2,12000,1000,"1 out of 3","Super Area","Behala","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"306","2022-06-30",2,8000,800,"Ground out of 3","Carpet Area","Thakurpukur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"307","2022-05-05",1,3000,500,"Ground out of 1","Super Area","Hatiara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"308","2022-05-20",3,20000,1200,"Ground out of 1","Carpet Area","Haridevpur, Paschim Putiary","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner"
"309","2022-06-10",1,9000,450,"Ground out of 2","Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",1,"Contact Agent"
"310","2022-06-25",3,13000,950,"Ground out of 2","Carpet Area","Rabindrapally, Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"311","2022-06-30",1,7000,350,"Ground out of 2","Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"312","2022-06-03",1,9000,450,"Ground out of 3","Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"313","2022-05-03",1,9000,550,"Ground out of 2","Carpet Area","Bangur Avenue, Lake Town","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner"
"314","2022-05-19",2,10000,300,"Ground out of 1","Carpet Area","Keshtopur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"315","2022-05-09",3,15000,1250,"Ground out of 3","Super Area","Sakher Bazar, Purba Barisha","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"316","2022-06-22",2,7000,700,"2 out of 3","Super Area","Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"317","2022-05-31",3,8000,812,"Ground out of 3","Super Area","Hooghly","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"318","2022-06-21",2,8000,550,"Ground out of 2","Super Area","Kalabagan, Tollygunge","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"319","2022-06-22",1,5000,500,"Ground out of 1","Super Area","Rishra","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"320","2022-06-23",1,14000,320,"1 out of 2","Carpet Area","Action Area 3, Rajarhat Newtown","Kolkata","Furnished","Bachelors",1,"Contact Owner"
"321","2022-05-05",2,5000,600,"Ground out of 2","Super Area","Anandapuri, Barrackpore","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"322","2022-06-01",2,5000,420,"Ground out of 2","Carpet Area","Barasat","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"323","2022-06-29",3,12000,1100,"Ground out of 2","Super Area","Rabindrapally Kestopur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"324","2022-06-29",1,3200,220,"3 out of 4","Super Area","Sodepur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"329","2022-05-26",2,7000,650,"Ground out of 2","Carpet Area","Baruipur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"330","2022-05-30",1,8000,600,"1 out of 2","Super Area","Garia","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"331","2022-06-08",1,3000,350,"Ground out of 3","Super Area","Belghoria","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"332","2022-06-14",1,3800,500,"1 out of 3","Carpet Area","Nalta","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"333","2022-06-10",1,6500,400,"1 out of 1","Super Area","Vivek Nagar, Garfa","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"334","2022-05-04",3,20000,1750,"Ground out of 3","Super Area","Kalindi","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"335","2022-05-04",3,30000,1600,"3 out of 3","Super Area","Ballygunge","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"336","2022-06-13",1,8000,300,"Ground out of 2","Carpet Area","Salt Lake City Sector 5","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"337","2022-06-25",2,14000,1100,"1 out of 3","Super Area","Survey park, Santoshpur, kolkata","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"338","2022-06-22",2,7200,830,"Ground out of 3","Super Area","Sodepur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"339","2022-05-20",2,7000,600,"Ground out of 2","Carpet Area","2 BHK","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"341","2022-06-29",2,7500,900,"1 out of 2","Carpet Area","Dum Dum Cantonment","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"342","2022-06-30",2,8500,1250,"Ground out of 1","Carpet Area","Barasat","Kolkata","Unfurnished","Family",2,"Contact Owner"
"343","2022-06-03",2,12000,700,"Ground out of 2","Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",1,"Contact Agent"
"344","2022-06-22",1,8500,850,"Ground out of 1","Carpet Area","Dakshineswar","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"345","2022-06-29",2,9500,550,"Ground out of 1","Carpet Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"346","2022-06-30",2,7500,550,"Ground out of 1","Carpet Area","New Garia Metro, New Garia","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"347","2022-06-15",2,12000,1200,"Ground out of 1","Super Area","Hati Bagan - Bansdroni","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"348","2022-06-15",3,20000,1100,"Ground out of 1","Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"349","2022-06-29",2,8500,650,"Ground out of 1","Super Area","Howrah","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"350","2022-06-15",3,20000,1050,"Ground out of 1","Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"351","2022-05-20",2,6000,960,"Ground out of 2","Super Area","Dum Dum","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"352","2022-05-30",2,5500,650,"1 out of 1","Carpet Area","Joka","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"353","2022-05-21",1,7000,550,"Ground out of 2","Super Area","Kasba","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"354","2022-05-21",2,7000,500,"Ground out of 1","Super Area","Dum Dum Metro","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"355","2022-04-25",1,6500,450,"3 out of 4","Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Family",1,"Contact Owner"
"356","2022-06-29",2,10000,850,"1 out of 2","Super Area","Agarpara","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
